"b2","b1","ccf","lag","distr.dist","distr.sd","x1","x2","num.matches","num.mismatches","non_cms","sumpeaks","cms","data","resID","id.x","id.y","match"
"Ukn Bullet B-1","Br1 Bullet 1-1",0.3516006726091,306,1.30390583603554,1.68593847974137,100,125,3,15,6,2.2309705400531,2,"data-35/unkn1.RData",1,1,38,FALSE
"Ukn Bullet B-1","Br7 Bullet 1-2",0.317182787338039,269,1.66694936960103,1.81472098494437,150,125,5,13,7,5.87674333453571,2,"data-35/unkn1.RData",86,32,38,FALSE
"Ukn Bullet B-1","Br9 Bullet 2-4",0.1943735805984,206,3.28805644734657,2.29267013007487,237.5,125,4,14,5,4.44587602902329,2,"data-35/unkn1.RData",118,51,38,FALSE
"Ukn Bullet B-1","Br3 Bullet 2-4",0.315063471603071,235,2.79372183684848,2.18558695225205,125,125,4,9,3,3.75656064845658,1,"data-35/unkn1.RData",46,14,38,FALSE
"Ukn Bullet B-1","Br4 Bullet 2-5",0.264659046404468,155,0.909079841685209,1.42463800541259,112.5,125,1,11,7,0.889170977938375,1,"data-35/unkn1.RData",59,39,38,FALSE
"Ukn Bullet B-1","Br1 Bullet 2-4",0.438915816147764,224,1.52394422894406,1.84259911727315,125,125,2,14,7,1.47274330560207,2,"data-35/unkn1.RData",10,2,38,FALSE
"Ukn Bullet B-1","Br1 Bullet 1-6",0.10177062703612,173,3.43869335570973,2.58317079354575,100,125,0,14,14,0,0,"data-35/unkn1.RData",6,6,38,FALSE
"Ukn Bullet B-1","Br10 Bullet 2-4",0.341396861008639,255,1.40236238929052,1.72942551703633,112.5,125,1,13,9,1.12244145920765,1,"data-35/unkn1.RData",22,56,38,FALSE
"Ukn Bullet B-1","Br9 Bullet 1-5",0.110349746980016,177,0.647705845009425,1.15974227498735,212.5,125,2,15,14,0.966844349516715,2,"data-35/unkn1.RData",113,53,38,FALSE
"Ukn Bullet B-1","Br1 Bullet 1-5",0.411154458018919,71,1.9023770404816,1.92769848396568,100,125,6,11,5,5.62672262680074,3,"data-35/unkn1.RData",5,5,38,FALSE
"Ukn Bullet B-1","Br1 Bullet 1-2",0.302026376653575,289,0.611736815300325,1.24861490150168,100,125,3,17,12,2.33094699710025,3,"data-35/unkn1.RData",2,2,38,FALSE
"Ukn Bullet B-1","Br4 Bullet 2-1",0.301011177378704,211,1.41676499465018,1.6856385950513,162.5,125,4,13,12,4.12147171690018,4,"data-35/unkn1.RData",55,41,38,FALSE
"Ukn Bullet B-1","Br10 Bullet 2-2",0.160892838580444,12,1.33233642140051,1.68033800868513,200,125,0,15,15,0,0,"data-35/unkn1.RData",20,60,38,FALSE
"Ukn Bullet B-1","Br2 Bullet 2-3",0.355887930105169,125,1.08531787836801,1.69742800585229,125,125,3,15,9,1.76012125778192,3,"data-35/unkn1.RData",33,8,38,FALSE
"Ukn Bullet B-1","Br6 Bullet 1-2",0.303106851579326,75,1.29978359439843,1.69810164080564,137.5,125,3,19,11,2.80054256754684,3,"data-35/unkn1.RData",74,26,38,FALSE
"Ukn Bullet B-1","Br3 Bullet 2-5",0.0983110716914222,8,6.95664357014772,2.86935263458949,100,125,6,14,6,8.47405737692047,2,"data-35/unkn1.RData",47,15,38,FALSE
"Ukn Bullet B-1","Br7 Bullet 2-4",0.272118086232667,170,1.48440677935362,1.7737613203264,100,125,4,12,6,4.52986966580869,3,"data-35/unkn1.RData",94,33,38,FALSE
"Ukn Bullet B-1","Br6 Bullet 2-4",0.354291065776986,290,2.63937657889326,2.1272518542476,200,125,0,16,16,0,0,"data-35/unkn1.RData",82,25,38,FALSE
"Ukn Bullet B-1","Br4 Bullet 2-2",0.247071371138664,212,6.12590184466448,2.97093142577587,112.5,125,3,10,4,3.43500138705327,2,"data-35/unkn1.RData",56,42,38,FALSE
"Ukn Bullet B-1","Br6 Bullet 1-6",0.25981165643674,81,1.62454716399993,1.77638661728365,112.5,125,2,16,8,2.7958004025743,1,"data-35/unkn1.RData",78,30,38,FALSE
"Ukn Bullet B-1","Br4 Bullet 1-5",0.295755937586565,172,1.54455904864944,1.73953655625505,100,125,1,11,10,0.702110085527146,1,"data-35/unkn1.RData",53,41,38,FALSE
"Ukn Bullet B-1","Br10 Bullet 1-4",0.247739899345838,255,2.34537439974325,2.36262896252692,100,125,1,17,9,0.0820167812242829,1,"data-35/unkn1.RData",16,58,38,FALSE
"Ukn Bullet B-1","Br8 Bullet 1-1",0.423102550472989,204,1.51153134322234,1.80123624534586,150,125,8,10,6,9.00881789834149,3,"data-35/unkn1.RData",97,43,38,FALSE
"Ukn Bullet B-1","Br4 Bullet 1-3",0.270567180953027,155,1.13174038944467,1.54983257657331,100,125,6,6,3,2.99774616000011,4,"data-35/unkn1.RData",51,39,38,FALSE
"Ukn Bullet B-1","Br10 Bullet 1-1",0.284571733355131,224,0.654092078963167,1.28169535997734,212.5,125,1,12,9,0.385728252130534,1,"data-35/unkn1.RData",13,55,38,FALSE
"Ukn Bullet B-1","Br5 Bullet 2-4",0.40589376244457,221,3.79997454616342,2.52512237043911,100,125,4,10,5,3.25980270011421,2,"data-35/unkn1.RData",70,20,38,FALSE
"Ukn Bullet B-1","Br9 Bullet 1-3",0.287058663244411,116,1.54090391722861,1.70811877498224,112.5,125,5,15,6,5.83049826573209,2,"data-35/unkn1.RData",111,51,38,FALSE
"Ukn Bullet B-1","Br2 Bullet 2-5",0.283892862305056,79,0.848439156145454,1.46463177776039,137.5,125,2,17,10,1.36194358982998,2,"data-35/unkn1.RData",35,10,38,FALSE
"Ukn Bullet B-1","Br8 Bullet 2-4",0.252225090445647,100,2.87768032833371,2.19435259296926,125,125,1,15,9,0.650734216131482,1,"data-35/unkn1.RData",106,46,38,FALSE
"Ukn Bullet B-1","Br2 Bullet 1-6",0.222300200491921,4,2.95044942804907,2.1062749399901,112.5,125,1,17,10,1.79860654473662,1,"data-35/unkn1.RData",30,12,38,FALSE
"Ukn Bullet B-1","Br9 Bullet 1-4",0.232077956214379,288,1.5716831661112,1.72819295941272,150,125,4,17,7,4.49864442482994,1,"data-35/unkn1.RData",112,52,38,FALSE
"Ukn Bullet B-1","Br6 Bullet 2-1",0.316554684469001,359,3.26186838272608,2.28998588486014,137.5,125,5,15,10,6.64688054366033,4,"data-35/unkn1.RData",79,28,38,FALSE
"Ukn Bullet B-1","Br5 Bullet 1-6",0.288212997740589,86,1.36501221588769,1.62226292286368,137.5,125,2,8,4,2.5798873821819,1,"data-35/unkn1.RData",66,24,38,FALSE
"Ukn Bullet B-1","Br6 Bullet 2-5",0.283184522487139,96,1.44124866499324,1.69798954929763,137.5,125,2,15,6,1.47703314905823,1,"data-35/unkn1.RData",83,26,38,FALSE
"Ukn Bullet B-1","Br1 Bullet 1-4",0.292056223234354,396,1.09202319511335,1.48562078106965,137.5,125,2,17,16,2.17491481918661,2,"data-35/unkn1.RData",4,4,38,FALSE
"Ukn Bullet B-1","Br1 Bullet 2-3",0.171927827477829,263,7.0891187107094,3.40471282193883,100,125,0,16,16,0,0,"data-35/unkn1.RData",9,1,38,FALSE
"Ukn Bullet B-1","Br3 Bullet 2-1",0.248870364571408,137,2.2841123678207,2.02180113403077,162.5,125,3,12,5,4.95220804967302,2,"data-35/unkn1.RData",43,17,38,FALSE
"Ukn Bullet B-1","Br2 Bullet 1-1",0.359496293643227,319,1.34882159719152,1.69494016233739,125,125,7,12,7,4.91926797893912,5,"data-35/unkn1.RData",25,7,38,FALSE
"Ukn Bullet B-1","Br9 Bullet 2-2",0.367796286105317,401,2.53706992079352,2.20132598653676,162.5,125,2,12,9,2.6310303235914,2,"data-35/unkn1.RData",116,49,38,FALSE
"Ukn Bullet B-1","Br4 Bullet 2-4",0.521210723701818,211,0.985332615936786,1.6167745644405,150,125,9,8,2,6.56891992473571,4,"data-35/unkn1.RData",58,38,38,TRUE
"Ukn Bullet B-1","Br4 Bullet 1-2",0.880648251166912,202,0.0430427476807821,0.885993998026116,125,125,8,11,7,4.57693351724345,6,"data-35/unkn1.RData",50,38,38,TRUE
"Ukn Bullet B-1","Br8 Bullet 2-2",0.275090141202972,152,4.25193658702822,2.57088614193744,187.5,125,5,7,3,7.6037162638424,3,"data-35/unkn1.RData",104,44,38,FALSE
"Ukn Bullet B-1","Br5 Bullet 1-2",0.452210448451378,51,1.476386810859,1.7988065132816,137.5,125,3,19,8,4.3751375504736,2,"data-35/unkn1.RData",62,20,38,FALSE
"Ukn Bullet B-1","Br10 Bullet 1-6",0.178909120364315,164,2.03188981317277,1.97130435011622,187.5,125,3,12,6,1.86359264311863,2,"data-35/unkn1.RData",18,60,38,FALSE
"Ukn Bullet B-1","Br5 Bullet 1-4",0.242861221874565,1,4.48297592922442,2.47684690755726,125,125,2,13,12,1.70841611805696,2,"data-35/unkn1.RData",64,22,38,FALSE
"Ukn Bullet B-1","Br3 Bullet 2-6",0.242707083328388,328,5.48144240795809,2.79811450568257,100,125,5,8,3,4.93478304566747,2,"data-35/unkn1.RData",48,16,38,FALSE
"Ukn Bullet B-1","Br3 Bullet 1-1",0.325432009403121,155,0.843815941769493,1.40691901188583,162.5,125,2,15,8,1.4848375309704,1,"data-35/unkn1.RData",37,13,38,FALSE
"Ukn Bullet B-1","Br4 Bullet 1-6",0.232458653197459,7,2.08092361882164,2.11657214916188,100,125,2,15,8,1.98661516804186,1,"data-35/unkn1.RData",54,42,38,FALSE
"Ukn Bullet B-1","Br10 Bullet 2-1",0.26615155769105,110,0.967835711671362,1.52251914237689,150,125,6,13,3,5.60273012678585,3,"data-35/unkn1.RData",19,59,38,FALSE
"Ukn Bullet B-1","Br6 Bullet 1-1",0.327318396861536,348,4.82714119141945,2.73038863243108,112.5,125,3,15,8,1.37080665310641,2,"data-35/unkn1.RData",73,25,38,FALSE
"Ukn Bullet B-1","Br10 Bullet 2-6",0.305883564887618,211,1.57002834961832,1.76171762734325,125,125,2,16,9,2.88439209245945,2,"data-35/unkn1.RData",24,58,38,FALSE
"Ukn Bullet B-1","Br7 Bullet 1-1",0.354059789807812,374,2.27951048154256,2.01198644353419,137.5,125,7,9,5,7.77123324810813,4,"data-35/unkn1.RData",85,31,38,FALSE
"Ukn Bullet B-1","Br1 Bullet 2-6",0.255229708172001,361,0.920510004419453,1.39245156416904,100,125,5,15,6,3.61820434832826,2,"data-35/unkn1.RData",12,4,38,FALSE
"Ukn Bullet B-1","Br9 Bullet 2-1",0.33160383935616,216,2.36000507842716,2.0624619937086,162.5,125,3,12,7,2.91067131254816,2,"data-35/unkn1.RData",115,54,38,FALSE
"Ukn Bullet B-1","Br7 Bullet 2-6",0.257133476089247,304,0.728818186869991,1.38120990640944,100,125,3,14,9,1.85482948497246,2,"data-35/unkn1.RData",96,35,38,FALSE
"Ukn Bullet B-1","Br10 Bullet 1-3",0.242509408044503,162,6.62540532591227,3.50719107101778,100,125,4,14,5,4.83316857081865,2,"data-35/unkn1.RData",15,57,38,FALSE
"Ukn Bullet B-1","Br8 Bullet 2-6",0.281253201176451,227,3.82205916761076,2.44613830692869,100,125,2,12,11,2.51040092557116,1,"data-35/unkn1.RData",108,48,38,FALSE
"Ukn Bullet B-1","Br6 Bullet 2-3",0.226669949014385,78,1.97383789720943,1.95026201807199,175,125,2,18,9,4.69218867040011,1,"data-35/unkn1.RData",81,30,38,FALSE
"Ukn Bullet B-1","Br5 Bullet 2-1",0.299651613609211,235,0.39974629268452,1.07636105614688,137.5,125,7,7,4,3.58315250693894,3,"data-35/unkn1.RData",67,23,38,FALSE
"Ukn Bullet B-1","Br1 Bullet 2-1",0.449654858823215,88,1.4683191166328,1.80486889002933,100,125,5,13,4,3.85838729522153,2,"data-35/unkn1.RData",7,5,38,FALSE
"Ukn Bullet B-1","Br5 Bullet 1-5",0.273557679346053,269,2.42162722884943,2.05283540524667,125,125,3,11,5,6.63054954002365,2,"data-35/unkn1.RData",65,23,38,FALSE
"Ukn Bullet B-1","Br3 Bullet 1-6",0.369544400514176,85,0.510508662329975,1.16118689397917,125,125,4,17,6,1.96169060136834,2,"data-35/unkn1.RData",42,18,38,FALSE
"Ukn Bullet B-1","Br6 Bullet 1-3",0.335515199108974,167,6.33970511547953,3.10260864852822,150,125,3,9,5,3.08746375529714,2,"data-35/unkn1.RData",75,27,38,FALSE
"Ukn Bullet B-1","Br3 Bullet 1-2",0.325430004774102,243,2.03100526547649,1.9152519662713,125,125,3,11,5,2.34531806674847,1,"data-35/unkn1.RData",38,14,38,FALSE
"Ukn Bullet B-1","Br10 Bullet 1-2",0.320563606126876,254,0.994936128304369,1.5613708797169,175,125,2,16,7,2.1694995428645,1,"data-35/unkn1.RData",14,56,38,FALSE
"Ukn Bullet B-1","Br7 Bullet 1-6",0.419087106213742,43,0.394963040782059,1.10647383846937,100,125,4,18,5,3.48459140488876,1,"data-35/unkn1.RData",90,36,38,FALSE
"Ukn Bullet B-1","Br3 Bullet 2-2",0.174085444567701,72,0.813559325648532,1.30237724338311,162.5,125,4,17,6,2.85257358316983,2,"data-35/unkn1.RData",44,18,38,FALSE
"Ukn Bullet B-1","Br4 Bullet 2-3",0.337546247225689,53,2.16301170054024,2.127799278321,150,125,0,11,11,0,0,"data-35/unkn1.RData",57,37,38,FALSE
"Ukn Bullet B-1","Br1 Bullet 2-5",0.372392788840212,195,1.70853859188673,1.86194114682202,125,125,2,9,6,2.16052902044303,1,"data-35/unkn1.RData",11,3,38,FALSE
"Ukn Bullet B-1","Br8 Bullet 2-3",0.373502311327879,269,2.44358894774537,2.12350364792993,175,125,5,14,5,5.76732712699065,2,"data-35/unkn1.RData",105,45,38,FALSE
"Ukn Bullet B-1","Br6 Bullet 2-2",0.337322956185617,67,1.52205802871426,1.88843343322854,175,125,3,20,8,3.16719140704509,2,"data-35/unkn1.RData",80,29,38,FALSE
"Ukn Bullet B-1","Br8 Bullet 2-1",0.320565888899657,201,5.49590711503059,2.88888314982932,100,125,3,13,6,2.57386725781451,2,"data-35/unkn1.RData",103,43,38,FALSE
"Ukn Bullet B-1","Br5 Bullet 2-5",0.258958081628386,41,1.24708896620852,1.64940850263674,112.5,125,4,18,12,4.08686657860621,4,"data-35/unkn1.RData",71,21,38,FALSE
"Ukn Bullet B-1","Br5 Bullet 2-2",0.300035862431473,99,1.62684354007652,1.74829223966764,125,125,3,10,7,2.52609724747017,3,"data-35/unkn1.RData",68,24,38,FALSE
"Ukn Bullet B-1","Br3 Bullet 1-3",0.196489552777172,347,2.86810148769647,2.16465348471323,137.5,125,2,14,9,1.96744687042432,1,"data-35/unkn1.RData",39,15,38,FALSE
"Ukn Bullet B-1","Br6 Bullet 2-6",0.267299276055605,241,1.22272818035488,1.58142387351633,125,125,3,14,7,2.07665558074538,2,"data-35/unkn1.RData",84,27,38,FALSE
"Ukn Bullet B-1","Br5 Bullet 2-6",0.163886333333952,242,1.88932245494591,1.80202531529522,150,125,4,11,5,4.13753596692762,3,"data-35/unkn1.RData",72,22,38,FALSE
"Ukn Bullet B-1","Br9 Bullet 2-6",0.239299832749928,180,0.545869644822457,1.14052396221348,175,125,4,13,12,1.27223010854293,2,"data-35/unkn1.RData",120,53,38,FALSE
"Ukn Bullet B-1","Br7 Bullet 1-3",0.154807638444383,149,1.98030079719034,2.06157217990431,187.5,125,3,18,11,2.51743922623917,2,"data-35/unkn1.RData",87,33,38,FALSE
"Ukn Bullet B-1","Br2 Bullet 1-5",0.287314170354395,289,1.39409105810691,1.79738193412591,100,125,2,20,11,2.07107680567441,1,"data-35/unkn1.RData",29,11,38,FALSE
"Ukn Bullet B-1","Br8 Bullet 1-3",0.26396706599376,148,1.12106560929138,1.50945707927887,137.5,125,3,9,4,2.65713536711622,1,"data-35/unkn1.RData",99,45,38,FALSE
"Ukn Bullet B-1","Br7 Bullet 1-4",0.158091401180415,25,2.59943602952826,2.03546088767141,125,125,0,16,16,0,0,"data-35/unkn1.RData",88,34,38,FALSE
"Ukn Bullet B-1","Br3 Bullet 2-3",0.427707339204886,115,0.851280047952097,1.47917358656665,162.5,125,4,12,6,3.08288242075336,2,"data-35/unkn1.RData",45,13,38,FALSE
"Ukn Bullet B-1","Br7 Bullet 1-5",0.352355918705384,305,1.35808341359829,1.68157404067838,112.5,125,1,13,9,0.957673079029931,1,"data-35/unkn1.RData",89,35,38,FALSE
"Ukn Bullet B-1","Br8 Bullet 1-4",0.243624459098345,190,2.44414349099453,2.22894729280104,187.5,125,7,11,3,5.36219552054014,3,"data-35/unkn1.RData",100,46,38,FALSE
"Ukn Bullet B-1","Br9 Bullet 1-1",0.160366928512304,401,2.52531479317536,2.11573507401168,150,125,3,19,14,1.51960864229323,2,"data-35/unkn1.RData",109,49,38,FALSE
"Ukn Bullet B-1","Br2 Bullet 1-2",0.395654101396995,113,1.38591447132071,1.87511823448111,162.5,125,2,15,9,1.79942942106053,2,"data-35/unkn1.RData",26,8,38,FALSE
"Ukn Bullet B-1","Br7 Bullet 2-1",0.442424654452373,38,0.398529308434025,1.13906873917205,137.5,125,6,15,8,4.71673034283635,4,"data-35/unkn1.RData",91,36,38,FALSE
"Ukn Bullet B-1","Br7 Bullet 2-5",0.185815954220937,234,4.86218959192882,2.68207716542344,137.5,125,4,13,12,8.91811956314604,2,"data-35/unkn1.RData",95,34,38,FALSE
"Ukn Bullet B-1","Br1 Bullet 2-2",0.177562671006704,117,3.37019522908022,2.26594098733998,162.5,125,5,13,7,7.86688026759858,3,"data-35/unkn1.RData",8,6,38,FALSE
"Ukn Bullet B-1","Br8 Bullet 2-5",0.309969268831471,243,4.3090043727555,2.63116019059062,125,125,3,11,6,3.28506941170278,2,"data-35/unkn1.RData",107,47,38,FALSE
"Ukn Bullet B-1","Br2 Bullet 1-4",0.219442481244576,312,3.42831538656267,2.24479981592026,175,125,1,14,8,0.845794541080693,1,"data-35/unkn1.RData",28,10,38,FALSE
"Ukn Bullet B-1","Br10 Bullet 2-3",0.195274505562297,194,0.736798644839151,1.2613843632793,112.5,125,5,10,7,2.90496887477558,4,"data-35/unkn1.RData",21,55,38,FALSE
"Ukn Bullet B-1","Br9 Bullet 1-2",0.233654078617935,374,6.34201032187809,2.86162783656513,100,125,2,20,11,1.16551557220785,1,"data-35/unkn1.RData",110,50,38,FALSE
"Ukn Bullet B-1","Br6 Bullet 1-4",0.168703443132181,270,1.34869620665608,1.57196564840889,212.5,125,4,8,5,2.95693254095614,3,"data-35/unkn1.RData",76,28,38,FALSE
"Ukn Bullet B-1","Br8 Bullet 1-6",0.220274334763544,225,0.863468195506881,1.37467413822781,112.5,125,2,13,12,2.35037325733285,1,"data-35/unkn1.RData",102,48,38,FALSE
"Ukn Bullet B-1","Br8 Bullet 1-5",0.249739551905825,272,1.38464871990643,1.71152478435329,112.5,125,7,10,5,6.60866626034754,5,"data-35/unkn1.RData",101,47,38,FALSE
"Ukn Bullet B-1","Br7 Bullet 2-2",0.31880407901116,167,2.05631499073535,2.01578835530935,175,125,8,12,6,10.7280492922633,5,"data-35/unkn1.RData",92,31,38,FALSE
"Ukn Bullet B-1","Br9 Bullet 2-3",0.235284831458201,165,3.58593876009898,2.67882407092911,175,125,1,15,13,5.14920870813601,1,"data-35/unkn1.RData",117,50,38,FALSE
"Ukn Bullet B-1","Br4 Bullet 2-6",0.325884555259445,337,1.7012677147518,1.7914072611092,112.5,125,7,6,3,5.76846104092528,5,"data-35/unkn1.RData",60,40,38,FALSE
"Ukn Bullet B-1","Br7 Bullet 2-3",0.229167695892486,267,2.96045325802284,2.21806054350466,150,125,7,10,7,6.80833514246168,4,"data-35/unkn1.RData",93,32,38,FALSE
"Ukn Bullet B-1","Br3 Bullet 1-5",0.407009861457581,122,1.66257449042497,1.91630804363567,125,125,6,8,4,9.13730878928472,2,"data-35/unkn1.RData",41,17,38,FALSE
"Ukn Bullet B-1","Br9 Bullet 2-5",0.18431818174399,183,1.50912038624947,1.68814071560424,100,125,7,10,5,5.1106814357022,2,"data-35/unkn1.RData",119,52,38,FALSE
"Ukn Bullet B-1","Br2 Bullet 2-2",0.313996856683612,108,3.43064087832946,2.65783209205291,100,125,1,14,9,2.31707357570466,1,"data-35/unkn1.RData",32,7,38,FALSE
"Ukn Bullet B-1","Br2 Bullet 2-4",0.240719642215311,190,1.21824785191332,1.58597300198465,175,125,3,12,8,2.71390225632376,2,"data-35/unkn1.RData",34,9,38,FALSE
"Ukn Bullet B-1","Br2 Bullet 2-6",0.256032013363698,84,1.73937664605566,2.02590112232388,137.5,125,3,14,11,2.67886408275796,3,"data-35/unkn1.RData",36,11,38,FALSE
"Ukn Bullet B-1","Br10 Bullet 1-5",0.158457518006921,175,3.78439111964869,2.33638289197097,100,125,5,10,5,4.35814815313423,3,"data-35/unkn1.RData",17,59,38,FALSE
"Ukn Bullet B-1","Br5 Bullet 1-3",0.24945299691295,46,1.49392436443381,1.74751192979221,100,125,5,14,6,4.75844271610443,4,"data-35/unkn1.RData",63,21,38,FALSE
"Ukn Bullet B-1","Br10 Bullet 2-5",0.226505330953868,91,2.51732109225449,2.11675506919537,100,125,4,12,6,3.72767308960002,2,"data-35/unkn1.RData",23,57,38,FALSE
"Ukn Bullet B-1","Br6 Bullet 1-5",0.302111626619056,54,1.70994882724986,1.76963210410288,125,125,2,15,12,1.96142194617875,2,"data-35/unkn1.RData",77,29,38,FALSE
"Ukn Bullet B-1","Br3 Bullet 1-4",0.252880134984872,359,7.08705236632555,3.07022341594383,187.5,125,1,13,10,6.55029133937517,1,"data-35/unkn1.RData",40,16,38,FALSE
"Ukn Bullet B-1","Br9 Bullet 1-6",0.180123930363513,156,2.14805082967191,2.02030029512668,112.5,125,1,17,11,2.03304400617922,1,"data-35/unkn1.RData",114,54,38,FALSE
"Ukn Bullet B-1","Br2 Bullet 1-3",0.345808704888089,401,1.18021852539359,1.58809730742667,137.5,125,5,9,4,3.88316415250787,2,"data-35/unkn1.RData",27,9,38,FALSE
"Ukn Bullet B-1","Br2 Bullet 2-1",0.370285062339411,113,1.45293449639581,1.71977357015434,112.5,125,7,11,5,8.31820677552173,6,"data-35/unkn1.RData",31,12,38,FALSE
"Ukn Bullet B-1","Br8 Bullet 1-2",0.221038483309717,158,5.31839134460092,3.07389683308374,100,125,5,9,6,7.7006736392576,3,"data-35/unkn1.RData",98,44,38,FALSE
"Ukn Bullet B-1","Br5 Bullet 1-1",0.126583812855039,123,0.88959923715617,1.33133006965038,137.5,125,1,11,7,1.61160734389428,1,"data-35/unkn1.RData",61,19,38,FALSE
"Ukn Bullet B-1","Br4 Bullet 1-4",0.289802209679371,150,1.11339586858593,1.54396503483027,100,125,4,9,6,4.24303438681674,3,"data-35/unkn1.RData",52,40,38,FALSE
"Ukn Bullet B-1","Br1 Bullet 1-3",0.339020518275556,199,1.96651370457995,1.94616659850657,100,125,2,9,7,1.9391972744608,1,"data-35/unkn1.RData",3,3,38,FALSE
"Ukn Bullet B-1","Br5 Bullet 2-3",0.213640397065829,220,3.18801230802719,2.33507323303111,112.5,125,3,16,6,2.88951208490503,1,"data-35/unkn1.RData",69,19,38,FALSE
"Ukn Bullet B-1","Br4 Bullet 1-1",0.37658341954238,53,2.07433948983594,2.0576095863203,112.5,125,0,17,17,0,0,"data-35/unkn1.RData",49,37,38,FALSE
"Ukn Bullet B-2","Br1 Bullet 1-4",0.250793995693945,142,2.96226309486781,2.70840822192608,137.5,237.5,1,17,15,0.771504774999659,1,"data-35/unkn2.RData",4,4,39,FALSE
"Ukn Bullet B-2","Br1 Bullet 1-6",0.153157564489113,172,5.5536436163641,3.80595823440217,100,237.5,3,16,10,9.44673893082714,1,"data-35/unkn2.RData",6,6,39,FALSE
"Ukn Bullet B-2","Br3 Bullet 2-2",0.156499709951536,401,1.65404911688328,2.52516468423954,162.5,237.5,4,17,7,5.0304822912526,2,"data-35/unkn2.RData",44,18,39,FALSE
"Ukn Bullet B-2","Br8 Bullet 2-2",0.144062357959647,358,5.16269689691786,3.79367358279387,187.5,237.5,1,17,10,0.642142511464684,1,"data-35/unkn2.RData",104,44,39,FALSE
"Ukn Bullet B-2","Br9 Bullet 1-5",0.294161340596707,238,1.15881060197647,2.38252971584378,212.5,237.5,3,18,9,2.12363631668217,2,"data-35/unkn2.RData",113,53,39,FALSE
"Ukn Bullet B-2","Br10 Bullet 1-3",0.27589745408527,401,7.41137163250935,4.72997851187421,100,237.5,3,14,6,4.75313555754684,2,"data-35/unkn2.RData",15,57,39,FALSE
"Ukn Bullet B-2","Br3 Bullet 2-3",0.265083884882397,334,1.50087913598313,2.70196102742308,162.5,237.5,5,14,12,6.52720471632183,4,"data-35/unkn2.RData",45,13,39,FALSE
"Ukn Bullet B-2","Br5 Bullet 2-4",0.140968899467148,1,5.6000015356159,3.74790981129554,100,237.5,3,11,7,4.68252577667647,2,"data-35/unkn2.RData",70,20,39,FALSE
"Ukn Bullet B-2","Br8 Bullet 2-5",0.303372072940504,349,4.15279664621903,3.85394763144705,125,237.5,5,16,6,6.25815346917541,3,"data-35/unkn2.RData",107,47,39,FALSE
"Ukn Bullet B-2","Br7 Bullet 2-5",0.214210861472136,289,4.76109725668225,3.90486460627987,137.5,237.5,2,10,6,3.16928960299336,2,"data-35/unkn2.RData",95,34,39,FALSE
"Ukn Bullet B-2","Br6 Bullet 2-3",0.221254185018264,176,3.44805458782289,3.17304945892842,175,237.5,1,15,13,1.87399779468191,1,"data-35/unkn2.RData",81,30,39,FALSE
"Ukn Bullet B-2","Br7 Bullet 1-2",0.250370012189953,136,3.11697494611387,3.0375084258008,150,237.5,5,13,5,8.19513148449158,1,"data-35/unkn2.RData",86,32,39,FALSE
"Ukn Bullet B-2","Br8 Bullet 1-6",0.230681303243652,259,1.50128860676185,2.59746157908424,112.5,237.5,6,14,8,5.89911229170481,3,"data-35/unkn2.RData",102,48,39,FALSE
"Ukn Bullet B-2","Br5 Bullet 1-5",0.286362298013076,378,2.87504032086133,3.2756228461031,125,237.5,1,18,15,2.45164737022663,1,"data-35/unkn2.RData",65,23,39,FALSE
"Ukn Bullet B-2","Br3 Bullet 1-6",0.146835410506838,401,1.48429278134197,2.3839743348356,125,237.5,0,15,15,0,0,"data-35/unkn2.RData",42,18,39,FALSE
"Ukn Bullet B-2","Br5 Bullet 1-4",0.417312305880585,321,3.3620329200841,3.69963434841369,125,237.5,0,19,19,0,0,"data-35/unkn2.RData",64,22,39,FALSE
"Ukn Bullet B-2","Br5 Bullet 1-2",0.343115449985235,160,2.49042415507579,3.02159395413803,137.5,237.5,0,14,14,0,0,"data-35/unkn2.RData",62,20,39,FALSE
"Ukn Bullet B-2","Br8 Bullet 2-6",0.337961975121181,269,3.38642203299732,3.66892574778512,100,237.5,6,16,7,7.57467689380911,2,"data-35/unkn2.RData",108,48,39,FALSE
"Ukn Bullet B-2","Br6 Bullet 2-6",0.164829175108034,31,4.10608242911468,2.80421131437276,125,237.5,2,15,7,4.1671365351716,1,"data-35/unkn2.RData",84,27,39,FALSE
"Ukn Bullet B-2","Br9 Bullet 1-1",0.0351209308980276,240,4.90781641973429,3.33852251486811,150,237.5,0,16,16,0,0,"data-35/unkn2.RData",109,49,39,FALSE
"Ukn Bullet B-2","Br6 Bullet 2-2",0.097968166729249,401,2.87468760433099,3.11122087408497,175,237.5,1,21,14,1.19322171741774,1,"data-35/unkn2.RData",80,29,39,FALSE
"Ukn Bullet B-2","Br10 Bullet 2-4",0.330922767270432,57,3.503409342818,2.95221295789275,112.5,237.5,4,11,6,4.41977041191655,2,"data-35/unkn2.RData",22,56,39,FALSE
"Ukn Bullet B-2","Br3 Bullet 1-5",0.19027462669328,301,2.87035646694284,3.1390954844921,125,237.5,2,19,14,4.90905226856169,1,"data-35/unkn2.RData",41,17,39,FALSE
